Date/Time,MW
1/1/2022 0:00,10729
1/1/2022 1:00,10600
1/1/2022 2:00,10481
1/1/2022 3:00,10437
1/1/2022 4:00,10396
1/1/2022 5:00,10389
1/1/2022 6:00,10427
1/1/2022 7:00,10510
1/1/2022 8:00,10568
1/1/2022 9:00,10608
1/1/2022 10:00,10743
1/1/2022 11:00,10807
1/1/2022 12:00,10833
1/1/2022 13:00,10818
1/1/2022 14:00,10731
1/1/2022 15:00,10756
1/1/2022 16:00,11106
1/1/2022 17:00,11277
1/1/2022 18:00,11125
1/1/2022 19:00,10927
1/1/2022 20:00,10771
1/1/2022 21:00,10532
1/1/2022 22:00,10269
1/1/2022 23:00,9988
1/2/2022 0:00,9834
1/2/2022 1:00,9752
1/2/2022 2:00,9687
1/2/2022 3:00,9663
1/2/2022 4:00,9676
1/2/2022 5:00,9773
1/2/2022 6:00,9895
1/2/2022 7:00,10083
1/2/2022 8:00,10255
1/2/2022 9:00,10356
1/2/2022 10:00,10497
1/2/2022 11:00,10610
1/2/2022 12:00,10591
1/2/2022 13:00,10580
1/2/2022 14:00,10609
1/2/2022 15:00,10733
1/2/2022 16:00,11042
1/2/2022 17:00,11335
1/2/2022 18:00,11249
1/2/2022 19:00,11162
1/2/2022 20:00,11086
1/2/2022 21:00,10968
1/2/2022 22:00,10738
1/2/2022 23:00,10472
1/3/2022 0:00,10266
1/3/2022 1:00,10182
1/3/2022 2:00,10116
1/3/2022 3:00,10162
1/3/2022 4:00,10207
1/3/2022 5:00,10317
1/3/2022 6:00,10544
1/3/2022 7:00,10849
1/3/2022 8:00,11119
1/3/2022 9:00,11239
1/3/2022 10:00,11378
1/3/2022 11:00,11453
1/3/2022 12:00,11511
1/3/2022 13:00,11536
1/3/2022 14:00,11497
1/3/2022 15:00,11556
1/3/2022 16:00,11762
1/3/2022 17:00,11922
1/3/2022 18:00,11803
1/3/2022 19:00,11753
1/3/2022 20:00,11696
1/3/2022 21:00,11503
1/3/2022 22:00,11223
1/3/2022 23:00,10893
1/4/2022 0:00,10694
1/4/2022 1:00,10648
1/4/2022 2:00,10594
1/4/2022 3:00,10596
1/4/2022 4:00,10553
1/4/2022 5:00,10634
1/4/2022 6:00,10947
1/4/2022 7:00,11268
1/4/2022 8:00,11500
1/4/2022 9:00,11548
1/4/2022 10:00,11618
1/4/2022 11:00,11660
1/4/2022 12:00,11654
1/4/2022 13:00,11655
1/4/2022 14:00,11643
1/4/2022 15:00,11695
1/4/2022 16:00,11787
1/4/2022 17:00,11803
1/4/2022 18:00,11631
1/4/2022 19:00,11452
1/4/2022 20:00,11271
1/4/2022 21:00,11171
1/4/2022 22:00,10964
1/4/2022 23:00,10749
1/5/2022 0:00,10614
1/5/2022 1:00,10547
1/5/2022 2:00,10498
1/5/2022 3:00,10482
1/5/2022 4:00,10513
1/5/2022 5:00,10608
1/5/2022 6:00,10854
1/5/2022 7:00,11221
1/5/2022 8:00,11478
1/5/2022 9:00,11357
1/5/2022 10:00,11394
1/5/2022 11:00,11472
1/5/2022 12:00,11471
1/5/2022 13:00,11385
1/5/2022 14:00,11354
1/5/2022 15:00,11382
1/5/2022 16:00,11529
1/5/2022 17:00,11770
1/5/2022 18:00,11608
1/5/2022 19:00,11461
1/5/2022 20:00,11307
1/5/2022 21:00,11054
1/5/2022 22:00,10831
1/5/2022 23:00,10590
1/6/2022 0:00,10408
1/6/2022 1:00,10338
1/6/2022 2:00,10291
1/6/2022 3:00,10296
1/6/2022 4:00,10326
1/6/2022 5:00,10443
1/6/2022 6:00,10752
1/6/2022 7:00,11094
1/6/2022 8:00,11334
1/6/2022 9:00,11377
1/6/2022 10:00,11478
1/6/2022 11:00,11557
1/6/2022 12:00,11519
1/6/2022 13:00,11531
1/6/2022 14:00,11540
1/6/2022 15:00,11502
1/6/2022 16:00,11611
1/6/2022 17:00,11763
1/6/2022 18:00,11578
1/6/2022 19:00,11450
1/6/2022 20:00,11354
1/6/2022 21:00,11165
1/6/2022 22:00,10956
1/6/2022 23:00,10729
1/7/2022 0:00,10534
1/7/2022 1:00,10431
1/7/2022 2:00,10352
1/7/2022 3:00,10354
1/7/2022 4:00,10355
1/7/2022 5:00,10437
1/7/2022 6:00,10658
1/7/2022 7:00,11066
1/7/2022 8:00,11320
1/7/2022 9:00,11381
1/7/2022 10:00,11412
1/7/2022 11:00,11438
1/7/2022 12:00,11432
1/7/2022 13:00,11317
1/7/2022 14:00,11334
1/7/2022 15:00,11318
1/7/2022 16:00,11491
1/7/2022 17:00,11733
1/7/2022 18:00,11535
1/7/2022 19:00,11397
1/7/2022 20:00,11384
1/7/2022 21:00,11233
1/7/2022 22:00,11045
1/7/2022 23:00,10775
1/8/2022 0:00,10538
1/8/2022 1:00,10450
1/8/2022 2:00,10358
1/8/2022 3:00,10332
1/8/2022 4:00,10345
1/8/2022 5:00,10367
1/8/2022 6:00,10452
1/8/2022 7:00,10651
1/8/2022 8:00,10843
1/8/2022 9:00,11024
1/8/2022 10:00,11102
1/8/2022 11:00,11099
1/8/2022 12:00,11074
1/8/2022 13:00,11070
1/8/2022 14:00,11126
1/8/2022 15:00,11195
1/8/2022 16:00,11451
1/8/2022 17:00,11724
1/8/2022 18:00,11611
1/8/2022 19:00,11452
1/8/2022 20:00,11269
1/8/2022 21:00,11078
1/8/2022 22:00,10874
1/8/2022 23:00,10654
1/9/2022 0:00,10459
1/9/2022 1:00,10339
1/9/2022 2:00,10274
1/9/2022 3:00,10269
1/9/2022 4:00,10250
1/9/2022 5:00,10298
1/9/2022 6:00,10424
1/9/2022 7:00,10589
1/9/2022 8:00,10753
1/9/2022 9:00,10881
1/9/2022 10:00,10990
1/9/2022 11:00,11071
1/9/2022 12:00,11080
1/9/2022 13:00,11067
1/9/2022 14:00,11083
1/9/2022 15:00,11107
1/9/2022 16:00,11364
1/9/2022 17:00,11664
1/9/2022 18:00,11493
1/9/2022 19:00,11323
1/9/2022 20:00,11168
1/9/2022 21:00,10918
1/9/2022 22:00,10590
1/9/2022 23:00,10284
1/10/2022 0:00,10122
1/10/2022 1:00,10008
1/10/2022 2:00,9898
1/10/2022 3:00,9885
1/10/2022 4:00,10025
1/10/2022 5:00,10167
1/10/2022 6:00,10505
1/10/2022 7:00,10927
1/10/2022 8:00,10998
1/10/2022 9:00,10991
1/10/2022 10:00,11027
1/10/2022 11:00,11026
1/10/2022 12:00,10958
1/10/2022 13:00,10942
1/10/2022 14:00,10950
1/10/2022 15:00,10968
1/10/2022 16:00,11080
1/10/2022 17:00,11317
1/10/2022 18:00,10997
1/10/2022 19:00,10864
1/10/2022 20:00,10736
1/10/2022 21:00,10512
1/10/2022 22:00,10197
1/10/2022 23:00,9869
1/11/2022 0:00,9682
1/11/2022 1:00,9589
1/11/2022 2:00,9519
1/11/2022 3:00,9504
1/11/2022 4:00,9513
1/11/2022 5:00,9633
1/11/2022 6:00,10007
1/11/2022 7:00,10542
1/11/2022 8:00,10779
1/11/2022 9:00,10785
1/11/2022 10:00,10833
1/11/2022 11:00,10819
1/11/2022 12:00,10760
1/11/2022 13:00,10745
1/11/2022 14:00,10711
1/11/2022 15:00,10726
1/11/2022 16:00,10877
1/11/2022 17:00,11123
1/11/2022 18:00,10979
1/11/2022 19:00,10860
1/11/2022 20:00,10756
1/11/2022 21:00,10508
1/11/2022 22:00,10195
1/11/2022 23:00,9901
1/12/2022 0:00,9704
1/12/2022 1:00,9616
1/12/2022 2:00,9580
1/12/2022 3:00,9576
1/12/2022 4:00,9623
1/12/2022 5:00,9749
1/12/2022 6:00,10064
1/12/2022 7:00,10499
1/12/2022 8:00,10735
1/12/2022 9:00,10761
1/12/2022 10:00,10763
1/12/2022 11:00,10842
1/12/2022 12:00,10782
1/12/2022 13:00,10722
1/12/2022 14:00,10681
1/12/2022 15:00,10719
1/12/2022 16:00,10902
1/12/2022 17:00,11098
1/12/2022 18:00,10889
