Date/Time,Price,MW,MW,MW
2022-01-01 00:00:00,65.64,10729.0,939.0,0.0
2022-01-01 01:00:00,61.59,10600.0,1080.0,0.0
2022-01-01 02:00:00,56.67,10481.0,1176.0,0.0
2022-01-01 03:00:00,45.58,10437.0,1284.0,0.0
2022-01-01 04:00:00,57.39,10396.0,1350.0,0.0
2022-01-01 05:00:00,58.11,10389.0,1363.0,0.0
2022-01-01 06:00:00,53.37,10427.0,1383.0,0.0
2022-01-01 07:00:00,41.23,10510.0,1405.0,0.0
2022-01-01 08:00:00,40.92,10568.0,1411.0,1.0
2022-01-01 09:00:00,39.58,10608.0,1470.0,17.0
2022-01-01 10:00:00,41.14,10743.0,1502.0,50.0
2022-01-01 11:00:00,51.16,10807.0,1465.0,74.0
2022-01-01 12:00:00,50.88,10833.0,1505.0,94.0
2022-01-01 13:00:00,54.35,10818.0,1458.0,98.0
2022-01-01 14:00:00,52.48,10731.0,1439.0,62.0
2022-01-01 15:00:00,53.93,10756.0,1349.0,21.0
2022-01-01 16:00:00,62.89,11106.0,1509.0,0.0
2022-01-01 17:00:00,83.49,11277.0,1408.0,0.0
2022-01-01 18:00:00,69.75,11125.0,1417.0,0.0
2022-01-01 19:00:00,66.28,10927.0,1505.0,0.0
2022-01-01 20:00:00,55.82,10771.0,1542.0,0.0
2022-01-01 21:00:00,47.65,10532.0,1543.0,0.0
2022-01-01 22:00:00,46.66,10269.0,1359.0,0.0
2022-01-01 23:00:00,55.65,9988.0,1273.0,0.0
2022-01-02 00:00:00,48.74,9834.0,1424.0,0.0
2022-01-02 01:00:00,32.45,9752.0,1447.0,0.0
2022-01-02 02:00:00,33.48,9687.0,1422.0,0.0
2022-01-02 03:00:00,38.35,9663.0,1358.0,0.0
2022-01-02 04:00:00,36.12,9676.0,1444.0,0.0
2022-01-02 05:00:00,40.34,9773.0,1470.0,0.0
2022-01-02 06:00:00,46.45,9895.0,1353.0,0.0
2022-01-02 07:00:00,46.29,10083.0,1309.0,0.0
2022-01-02 08:00:00,48.44,10255.0,1398.0,1.0
2022-01-02 09:00:00,42.75,10356.0,1606.0,42.0
2022-01-02 10:00:00,38.62,10497.0,1664.0,113.0
2022-01-02 11:00:00,47.67,10610.0,1591.0,184.0
2022-01-02 12:00:00,48.09,10591.0,1500.0,161.0
2022-01-02 13:00:00,49.11,10580.0,1284.0,173.0
2022-01-02 14:00:00,51.94,10609.0,1358.0,122.0
2022-01-02 15:00:00,49.52,10733.0,1569.0,29.0
2022-01-02 16:00:00,59.43,11042.0,1533.0,0.0
2022-01-02 17:00:00,70.95,11335.0,1434.0,0.0
2022-01-02 18:00:00,151.42,11249.0,986.0,0.0
2022-01-02 19:00:00,96.94,11162.0,838.0,0.0
2022-01-02 20:00:00,107.75,11086.0,666.0,0.0
2022-01-02 21:00:00,77.41,10968.0,657.0,0.0
2022-01-02 22:00:00,100.08,10738.0,489.0,0.0
2022-01-02 23:00:00,90.69,10472.0,461.0,0.0
2022-01-03 00:00:00,70.43,10266.0,373.0,0.0
2022-01-03 01:00:00,70.25,10182.0,328.0,0.0
2022-01-03 02:00:00,67.91,10116.0,316.0,0.0
2022-01-03 03:00:00,68.25,10162.0,265.0,0.0
2022-01-03 04:00:00,70.66,10207.0,216.0,0.0
2022-01-03 05:00:00,71.98,10317.0,211.0,0.0
2022-01-03 06:00:00,74.25,10544.0,199.0,0.0
2022-01-03 07:00:00,64.38,10849.0,170.0,0.0
2022-01-03 08:00:00,79.04,11119.0,166.0,2.0
2022-01-03 09:00:00,170.74,11239.0,133.0,16.0
2022-01-03 10:00:00,218.04,11378.0,130.0,29.0
2022-01-03 11:00:00,148.77,11453.0,166.0,53.0
2022-01-03 12:00:00,176.62,11511.0,191.0,80.0
2022-01-03 13:00:00,186.47,11536.0,217.0,76.0
2022-01-03 14:00:00,176.13,11497.0,331.0,39.0
2022-01-03 15:00:00,131.95,11556.0,551.0,15.0
2022-01-03 16:00:00,117.08,11762.0,763.0,0.0
2022-01-03 17:00:00,140.51,11922.0,816.0,0.0
2022-01-03 18:00:00,74.05,11803.0,987.0,0.0
2022-01-03 19:00:00,70.21,11753.0,1067.0,0.0
2022-01-03 20:00:00,73.11,11696.0,1133.0,0.0
2022-01-03 21:00:00,74.21,11503.0,1120.0,0.0
2022-01-03 22:00:00,68.47,11223.0,1132.0,0.0
2022-01-03 23:00:00,67.51,10893.0,1157.0,0.0
2022-01-04 00:00:00,56.14,10694.0,1188.0,0.0
2022-01-04 01:00:00,56.21,10648.0,1159.0,0.0
2022-01-04 02:00:00,63.27,10594.0,1076.0,0.0
2022-01-04 03:00:00,65.03,10596.0,1022.0,0.0
2022-01-04 04:00:00,65.11,10553.0,1019.0,0.0
2022-01-04 05:00:00,67.21,10634.0,990.0,0.0
2022-01-04 06:00:00,81.92,10947.0,958.0,0.0
2022-01-04 07:00:00,69.85,11268.0,952.0,0.0
2022-01-04 08:00:00,70.49,11500.0,954.0,1.0
2022-01-04 09:00:00,77.87,11548.0,955.0,11.0
2022-01-04 10:00:00,84.56,11618.0,945.0,52.0
2022-01-04 11:00:00,83.66,11660.0,940.0,93.0
2022-01-04 12:00:00,82.74,11654.0,916.0,111.0
2022-01-04 13:00:00,75.23,11655.0,839.0,105.0
2022-01-04 14:00:00,86.31,11643.0,685.0,70.0
2022-01-04 15:00:00,157.44,11695.0,595.0,37.0
2022-01-04 16:00:00,331.45,11787.0,494.0,2.0
2022-01-04 17:00:00,684.78,11803.0,385.0,0.0
2022-01-04 18:00:00,701.55,11631.0,271.0,0.0
2022-01-04 19:00:00,608.82,11452.0,235.0,0.0
2022-01-04 20:00:00,214.87,11271.0,217.0,0.0
2022-01-04 21:00:00,95.12,11171.0,187.0,0.0
2022-01-04 22:00:00,76.71,10964.0,149.0,0.0
2022-01-04 23:00:00,207.29,10749.0,127.0,0.0
2022-01-05 00:00:00,91.31,10614.0,128.0,0.0
2022-01-05 01:00:00,83.11,10547.0,110.0,0.0
2022-01-05 02:00:00,76.8,10498.0,116.0,0.0
2022-01-05 03:00:00,77.77,10482.0,96.0,0.0
2022-01-05 04:00:00,77.97,10513.0,105.0,0.0
2022-01-05 05:00:00,79.0,10608.0,112.0,0.0
2022-01-05 06:00:00,86.46,10854.0,119.0,0.0
2022-01-05 07:00:00,78.71,11221.0,131.0,0.0
2022-01-05 08:00:00,151.72,11478.0,129.0,1.0
2022-01-05 09:00:00,285.34,11357.0,109.0,15.0
2022-01-05 10:00:00,419.64,11394.0,60.0,42.0
2022-01-05 11:00:00,498.48,11472.0,34.0,62.0
2022-01-05 12:00:00,613.68,11471.0,34.0,77.0
2022-01-05 13:00:00,616.63,11385.0,21.0,75.0
2022-01-05 14:00:00,614.88,11354.0,11.0,58.0
2022-01-05 15:00:00,549.98,11382.0,11.0,29.0
2022-01-05 16:00:00,721.4,11529.0,10.0,2.0
2022-01-05 17:00:00,749.33,11770.0,3.0,0.0
2022-01-05 18:00:00,725.01,11608.0,4.0,0.0
2022-01-05 19:00:00,679.2,11461.0,1.0,0.0
2022-01-05 20:00:00,548.18,11307.0,1.0,0.0
2022-01-05 21:00:00,329.02,11054.0,5.0,0.0
2022-01-05 22:00:00,84.1,10831.0,5.0,0.0
2022-01-05 23:00:00,222.74,10590.0,11.0,0.0
2022-01-06 00:00:00,86.17,10408.0,35.0,0.0
2022-01-06 01:00:00,83.79,10338.0,75.0,0.0
2022-01-06 02:00:00,76.21,10291.0,129.0,0.0
2022-01-06 03:00:00,63.03,10296.0,265.0,0.0
2022-01-06 04:00:00,58.17,10326.0,376.0,0.0
2022-01-06 05:00:00,59.25,10443.0,401.0,0.0
2022-01-06 06:00:00,68.94,10752.0,439.0,0.0
2022-01-06 07:00:00,70.0,11094.0,444.0,0.0
2022-01-06 08:00:00,82.47,11334.0,432.0,0.0
2022-01-06 09:00:00,83.6,11377.0,438.0,9.0
2022-01-06 10:00:00,83.52,11478.0,440.0,21.0
2022-01-06 11:00:00,85.94,11557.0,455.0,34.0
2022-01-06 12:00:00,262.93,11519.0,461.0,48.0
2022-01-06 13:00:00,84.87,11531.0,500.0,39.0
2022-01-06 14:00:00,88.4,11540.0,504.0,27.0
2022-01-06 15:00:00,234.68,11502.0,473.0,13.0
2022-01-06 16:00:00,310.04,11611.0,456.0,0.0
2022-01-06 17:00:00,495.55,11763.0,475.0,0.0
2022-01-06 18:00:00,405.27,11578.0,452.0,0.0
2022-01-06 19:00:00,194.66,11450.0,465.0,0.0
2022-01-06 20:00:00,120.0,11354.0,462.0,0.0
2022-01-06 21:00:00,86.77,11165.0,473.0,0.0
2022-01-06 22:00:00,76.33,10956.0,485.0,0.0
2022-01-06 23:00:00,79.21,10729.0,506.0,0.0
2022-01-07 00:00:00,76.03,10534.0,483.0,0.0
2022-01-07 01:00:00,71.67,10431.0,513.0,0.0
2022-01-07 02:00:00,70.64,10352.0,450.0,0.0
2022-01-07 03:00:00,68.63,10354.0,622.0,0.0
2022-01-07 04:00:00,70.25,10355.0,634.0,0.0
2022-01-07 05:00:00,70.68,10437.0,703.0,0.0
2022-01-07 06:00:00,73.16,10658.0,845.0,0.0
2022-01-07 07:00:00,76.48,11066.0,912.0,0.0
2022-01-07 08:00:00,77.37,11320.0,903.0,0.0
2022-01-07 09:00:00,238.55,11381.0,800.0,11.0
2022-01-07 10:00:00,427.39,11412.0,574.0,27.0
2022-01-07 11:00:00,715.44,11438.0,364.0,39.0
2022-01-07 12:00:00,676.6,11432.0,297.0,48.0
2022-01-07 13:00:00,678.26,11317.0,242.0,45.0
2022-01-07 14:00:00,676.61,11334.0,206.0,32.0
2022-01-07 15:00:00,634.18,11318.0,276.0,15.0
2022-01-07 16:00:00,639.4,11491.0,476.0,1.0
2022-01-07 17:00:00,484.51,11733.0,849.0,0.0
2022-01-07 18:00:00,318.09,11535.0,888.0,0.0
2022-01-07 19:00:00,96.74,11397.0,915.0,0.0
2022-01-07 20:00:00,102.74,11384.0,858.0,0.0
2022-01-07 21:00:00,92.0,11233.0,768.0,0.0
2022-01-07 22:00:00,89.3,11045.0,756.0,0.0
2022-01-07 23:00:00,88.61,10775.0,770.0,0.0
2022-01-08 00:00:00,75.33,10538.0,662.0,0.0
2022-01-08 01:00:00,71.92,10450.0,721.0,0.0
2022-01-08 02:00:00,67.26,10358.0,838.0,0.0
2022-01-08 03:00:00,68.44,10332.0,771.0,0.0
2022-01-08 04:00:00,71.11,10345.0,655.0,0.0
2022-01-08 05:00:00,75.04,10367.0,527.0,0.0
2022-01-08 06:00:00,74.09,10452.0,553.0,0.0
2022-01-08 07:00:00,66.54,10651.0,458.0,0.0
2022-01-08 08:00:00,73.68,10843.0,321.0,0.0
2022-01-08 09:00:00,100.06,11024.0,207.0,12.0
2022-01-08 10:00:00,117.94,11102.0,159.0,44.0
2022-01-08 11:00:00,115.34,11099.0,68.0,70.0
2022-01-08 12:00:00,108.98,11074.0,42.0,72.0
2022-01-08 13:00:00,123.5,11070.0,107.0,81.0
2022-01-08 14:00:00,98.07,11126.0,229.0,85.0
2022-01-08 15:00:00,71.63,11195.0,559.0,42.0
2022-01-08 16:00:00,73.86,11451.0,814.0,3.0
2022-01-08 17:00:00,89.75,11724.0,916.0,0.0
2022-01-08 18:00:00,75.91,11611.0,975.0,0.0
2022-01-08 19:00:00,46.77,11452.0,1288.0,0.0
2022-01-08 20:00:00,42.07,11269.0,1390.0,0.0
2022-01-08 21:00:00,44.52,11078.0,1336.0,0.0
2022-01-08 22:00:00,40.78,10874.0,1242.0,0.0
2022-01-08 23:00:00,47.03,10654.0,1295.0,0.0
2022-01-09 00:00:00,38.33,10459.0,1460.0,0.0
2022-01-09 01:00:00,33.62,10339.0,1539.0,0.0
2022-01-09 02:00:00,33.22,10274.0,1507.0,0.0
2022-01-09 03:00:00,40.09,10269.0,1400.0,0.0
2022-01-09 04:00:00,45.44,10250.0,1330.0,0.0
2022-01-09 05:00:00,58.09,10298.0,1185.0,0.0
2022-01-09 06:00:00,59.74,10424.0,1016.0,0.0
2022-01-09 07:00:00,65.89,10589.0,869.0,0.0
2022-01-09 08:00:00,72.65,10753.0,768.0,3.0
2022-01-09 09:00:00,63.05,10881.0,748.0,52.0
2022-01-09 10:00:00,59.79,10990.0,789.0,121.0
2022-01-09 11:00:00,56.3,11071.0,830.0,137.0
2022-01-09 12:00:00,55.94,11080.0,877.0,141.0
2022-01-09 13:00:00,55.54,11067.0,857.0,137.0
2022-01-09 14:00:00,57.49,11083.0,816.0,81.0
2022-01-09 15:00:00,58.45,11107.0,849.0,36.0
2022-01-09 16:00:00,63.45,11364.0,1007.0,8.0
2022-01-09 17:00:00,76.75,11664.0,994.0,0.0
2022-01-09 18:00:00,62.58,11493.0,1092.0,0.0
2022-01-09 19:00:00,52.13,11323.0,1168.0,0.0
2022-01-09 20:00:00,51.0,11168.0,1178.0,0.0
2022-01-09 21:00:00,51.4,10918.0,1308.0,0.0
2022-01-09 22:00:00,42.4,10590.0,1452.0,0.0
2022-01-09 23:00:00,33.89,10284.0,1542.0,0.0
2022-01-10 00:00:00,28.88,10122.0,1669.0,0.0
2022-01-10 01:00:00,28.45,10008.0,1724.0,0.0
2022-01-10 02:00:00,28.32,9898.0,1664.0,0.0
2022-01-10 03:00:00,28.55,9885.0,1575.0,0.0
2022-01-10 04:00:00,30.21,10025.0,1696.0,0.0
2022-01-10 05:00:00,30.84,10167.0,1698.0,0.0
2022-01-10 06:00:00,40.03,10505.0,1673.0,0.0
2022-01-10 07:00:00,48.5,10927.0,1683.0,0.0
2022-01-10 08:00:00,51.91,10998.0,1639.0,1.0
2022-01-10 09:00:00,47.86,10991.0,1629.0,23.0
2022-01-10 10:00:00,47.05,11027.0,1549.0,58.0
2022-01-10 11:00:00,51.07,11026.0,1525.0,90.0
2022-01-10 12:00:00,54.7,10958.0,1454.0,99.0
2022-01-10 13:00:00,59.25,10942.0,1426.0,86.0
2022-01-10 14:00:00,51.35,10950.0,1565.0,74.0
2022-01-10 15:00:00,56.75,10968.0,1533.0,41.0
2022-01-10 16:00:00,48.09,11080.0,1763.0,17.0
2022-01-10 17:00:00,59.28,11317.0,1733.0,0.0
2022-01-10 18:00:00,49.36,10997.0,1521.0,0.0
2022-01-10 19:00:00,41.7,10864.0,1715.0,0.0
2022-01-10 20:00:00,44.17,10736.0,1636.0,0.0
2022-01-10 21:00:00,45.35,10512.0,1535.0,0.0
2022-01-10 22:00:00,42.39,10197.0,1707.0,0.0
2022-01-10 23:00:00,37.78,9869.0,1653.0,0.0
2022-01-11 00:00:00,31.86,9682.0,1653.0,0.0
2022-01-11 01:00:00,37.01,9589.0,1724.0,0.0
2022-01-11 02:00:00,39.5,9519.0,1700.0,0.0
2022-01-11 03:00:00,42.17,9504.0,1645.0,0.0
2022-01-11 04:00:00,38.0,9513.0,1699.0,0.0
2022-01-11 05:00:00,52.5,9633.0,1486.0,0.0
2022-01-11 06:00:00,68.36,10007.0,1397.0,0.0
2022-01-11 07:00:00,67.08,10542.0,1688.0,0.0
2022-01-11 08:00:00,60.77,10779.0,1756.0,0.0
2022-01-11 09:00:00,59.81,10785.0,1740.0,24.0
2022-01-11 10:00:00,61.24,10833.0,1740.0,76.0
2022-01-11 11:00:00,58.93,10819.0,1732.0,163.0
2022-01-11 12:00:00,60.83,10760.0,1537.0,145.0
2022-01-11 13:00:00,67.84,10745.0,1385.0,109.0
2022-01-11 14:00:00,71.61,10711.0,1418.0,60.0
2022-01-11 15:00:00,65.45,10726.0,1511.0,31.0
2022-01-11 16:00:00,71.56,10877.0,1513.0,9.0
2022-01-11 17:00:00,126.11,11123.0,1544.0,0.0
2022-01-11 18:00:00,69.36,10979.0,1437.0,0.0
2022-01-11 19:00:00,59.3,10860.0,1431.0,0.0
2022-01-11 20:00:00,68.4,10756.0,1488.0,0.0
2022-01-11 21:00:00,65.75,10508.0,1478.0,0.0
2022-01-11 22:00:00,61.03,10195.0,1397.0,0.0
2022-01-11 23:00:00,61.89,9901.0,1339.0,0.0
2022-01-12 00:00:00,57.1,9704.0,1283.0,0.0
2022-01-12 01:00:00,53.32,9616.0,1351.0,0.0
2022-01-12 02:00:00,51.79,9580.0,1331.0,0.0
2022-01-12 03:00:00,53.23,9576.0,1344.0,0.0
2022-01-12 04:00:00,52.96,9623.0,1419.0,0.0
2022-01-12 05:00:00,55.11,9749.0,1430.0,0.0
