Date/Time,MW
1/1/2022 0:00,939
1/1/2022 1:00,1080
1/1/2022 2:00,1176
1/1/2022 3:00,1284
1/1/2022 4:00,1350
1/1/2022 5:00,1363
1/1/2022 6:00,1383
1/1/2022 7:00,1405
1/1/2022 8:00,1411
1/1/2022 9:00,1470
1/1/2022 10:00,1502
1/1/2022 11:00,1465
1/1/2022 12:00,1505
1/1/2022 13:00,1458
1/1/2022 14:00,1439
1/1/2022 15:00,1349
1/1/2022 16:00,1509
1/1/2022 17:00,1408
1/1/2022 18:00,1417
1/1/2022 19:00,1505
1/1/2022 20:00,1542
1/1/2022 21:00,1543
1/1/2022 22:00,1359
1/1/2022 23:00,1273
1/2/2022 0:00,1424
1/2/2022 1:00,1447
1/2/2022 2:00,1422
1/2/2022 3:00,1358
1/2/2022 4:00,1444
1/2/2022 5:00,1470
1/2/2022 6:00,1353
1/2/2022 7:00,1309
1/2/2022 8:00,1398
1/2/2022 9:00,1606
1/2/2022 10:00,1664
1/2/2022 11:00,1591
1/2/2022 12:00,1500
1/2/2022 13:00,1284
1/2/2022 14:00,1358
1/2/2022 15:00,1569
1/2/2022 16:00,1533
1/2/2022 17:00,1434
1/2/2022 18:00,986
1/2/2022 19:00,838
1/2/2022 20:00,666
1/2/2022 21:00,657
1/2/2022 22:00,489
1/2/2022 23:00,461
1/3/2022 0:00,373
1/3/2022 1:00,328
1/3/2022 2:00,316
1/3/2022 3:00,265
1/3/2022 4:00,216
1/3/2022 5:00,211
1/3/2022 6:00,199
1/3/2022 7:00,170
1/3/2022 8:00,166
1/3/2022 9:00,133
1/3/2022 10:00,130
1/3/2022 11:00,166
1/3/2022 12:00,191
1/3/2022 13:00,217
1/3/2022 14:00,331
1/3/2022 15:00,551
1/3/2022 16:00,763
1/3/2022 17:00,816
1/3/2022 18:00,987
1/3/2022 19:00,1067
1/3/2022 20:00,1133
1/3/2022 21:00,1120
1/3/2022 22:00,1132
1/3/2022 23:00,1157
1/4/2022 0:00,1188
1/4/2022 1:00,1159
1/4/2022 2:00,1076
1/4/2022 3:00,1022
1/4/2022 4:00,1019
1/4/2022 5:00,990
1/4/2022 6:00,958
1/4/2022 7:00,952
1/4/2022 8:00,954
1/4/2022 9:00,955
1/4/2022 10:00,945
1/4/2022 11:00,940
1/4/2022 12:00,916
1/4/2022 13:00,839
1/4/2022 14:00,685
1/4/2022 15:00,595
1/4/2022 16:00,494
1/4/2022 17:00,385
1/4/2022 18:00,271
1/4/2022 19:00,235
1/4/2022 20:00,217
1/4/2022 21:00,187
1/4/2022 22:00,149
1/4/2022 23:00,127
1/5/2022 0:00,128
1/5/2022 1:00,110
1/5/2022 2:00,116
1/5/2022 3:00,96
1/5/2022 4:00,105
1/5/2022 5:00,112
1/5/2022 6:00,119
1/5/2022 7:00,131
1/5/2022 8:00,129
1/5/2022 9:00,109
1/5/2022 10:00,60
1/5/2022 11:00,34
1/5/2022 12:00,34
1/5/2022 13:00,21
1/5/2022 14:00,11
1/5/2022 15:00,11
1/5/2022 16:00,10
1/5/2022 17:00,3
1/5/2022 18:00,4
1/5/2022 19:00,1
1/5/2022 20:00,1
1/5/2022 21:00,5
1/5/2022 22:00,5
1/5/2022 23:00,11
1/6/2022 0:00,35
1/6/2022 1:00,75
1/6/2022 2:00,129
1/6/2022 3:00,265
1/6/2022 4:00,376
1/6/2022 5:00,401
1/6/2022 6:00,439
1/6/2022 7:00,444
1/6/2022 8:00,432
1/6/2022 9:00,438
1/6/2022 10:00,440
1/6/2022 11:00,455
1/6/2022 12:00,461
1/6/2022 13:00,500
1/6/2022 14:00,504
1/6/2022 15:00,473
1/6/2022 16:00,456
1/6/2022 17:00,475
1/6/2022 18:00,452
1/6/2022 19:00,465
1/6/2022 20:00,462
1/6/2022 21:00,473
1/6/2022 22:00,485
1/6/2022 23:00,506
1/7/2022 0:00,483
1/7/2022 1:00,513
1/7/2022 2:00,450
1/7/2022 3:00,622
1/7/2022 4:00,634
1/7/2022 5:00,703
1/7/2022 6:00,845
1/7/2022 7:00,912
1/7/2022 8:00,903
1/7/2022 9:00,800
1/7/2022 10:00,574
1/7/2022 11:00,364
1/7/2022 12:00,297
1/7/2022 13:00,242
1/7/2022 14:00,206
1/7/2022 15:00,276
1/7/2022 16:00,476
1/7/2022 17:00,849
1/7/2022 18:00,888
1/7/2022 19:00,915
1/7/2022 20:00,858
1/7/2022 21:00,768
1/7/2022 22:00,756
1/7/2022 23:00,770
1/8/2022 0:00,662
1/8/2022 1:00,721
1/8/2022 2:00,838
1/8/2022 3:00,771
1/8/2022 4:00,655
1/8/2022 5:00,527
1/8/2022 6:00,553
1/8/2022 7:00,458
1/8/2022 8:00,321
1/8/2022 9:00,207
1/8/2022 10:00,159
1/8/2022 11:00,68
1/8/2022 12:00,42
1/8/2022 13:00,107
1/8/2022 14:00,229
1/8/2022 15:00,559
1/8/2022 16:00,814
1/8/2022 17:00,916
1/8/2022 18:00,975
1/8/2022 19:00,1288
1/8/2022 20:00,1390
1/8/2022 21:00,1336
1/8/2022 22:00,1242
1/8/2022 23:00,1295
1/9/2022 0:00,1460
1/9/2022 1:00,1539
1/9/2022 2:00,1507
1/9/2022 3:00,1400
1/9/2022 4:00,1330
1/9/2022 5:00,1185
1/9/2022 6:00,1016
1/9/2022 7:00,869
1/9/2022 8:00,768
1/9/2022 9:00,748
1/9/2022 10:00,789
1/9/2022 11:00,830
1/9/2022 12:00,877
1/9/2022 13:00,857
1/9/2022 14:00,816
1/9/2022 15:00,849
1/9/2022 16:00,1007
1/9/2022 17:00,994
1/9/2022 18:00,1092
1/9/2022 19:00,1168
1/9/2022 20:00,1178
1/9/2022 21:00,1308
1/9/2022 22:00,1452
1/9/2022 23:00,1542
1/10/2022 0:00,1669
1/10/2022 1:00,1724
1/10/2022 2:00,1664
1/10/2022 3:00,1575
1/10/2022 4:00,1696
1/10/2022 5:00,1698
1/10/2022 6:00,1673
1/10/2022 7:00,1683
1/10/2022 8:00,1639
1/10/2022 9:00,1629
1/10/2022 10:00,1549
1/10/2022 11:00,1525
1/10/2022 12:00,1454
1/10/2022 13:00,1426
1/10/2022 14:00,1565
1/10/2022 15:00,1533
1/10/2022 16:00,1763
1/10/2022 17:00,1733
1/10/2022 18:00,1521
1/10/2022 19:00,1715
1/10/2022 20:00,1636
1/10/2022 21:00,1535
1/10/2022 22:00,1707
1/10/2022 23:00,1653
1/11/2022 0:00,1653
1/11/2022 1:00,1724
1/11/2022 2:00,1700
1/11/2022 3:00,1645
1/11/2022 4:00,1699
1/11/2022 5:00,1486
1/11/2022 6:00,1397
1/11/2022 7:00,1688
1/11/2022 8:00,1756
1/11/2022 9:00,1740
1/11/2022 10:00,1740
1/11/2022 11:00,1732
1/11/2022 12:00,1537
1/11/2022 13:00,1385
1/11/2022 14:00,1418
1/11/2022 15:00,1511
1/11/2022 16:00,1513
1/11/2022 17:00,1544
1/11/2022 18:00,1437
1/11/2022 19:00,1431
1/11/2022 20:00,1488
1/11/2022 21:00,1478
1/11/2022 22:00,1397
1/11/2022 23:00,1339
1/12/2022 0:00,1283
1/12/2022 1:00,1351
1/12/2022 2:00,1331
1/12/2022 3:00,1344
1/12/2022 4:00,1419
1/12/2022 5:00,1430
1/12/2022 6:00,1409
1/12/2022 7:00,1488
1/12/2022 8:00,1493
1/12/2022 9:00,1494
1/12/2022 10:00,1461
1/12/2022 11:00,1485
1/12/2022 12:00,1473
1/12/2022 13:00,1476
1/12/2022 14:00,1509
1/12/2022 15:00,1410
1/12/2022 16:00,1204
1/12/2022 17:00,1120
1/12/2022 18:00,862
1/12/2022 19:00,438
1/12/2022 20:00,238
1/12/2022 21:00,228
1/12/2022 22:00,364
1/12/2022 23:00,597
1/13/2022 0:00,908
1/13/2022 1:00,1056
1/13/2022 2:00,1133
1/13/2022 3:00,1271
1/13/2022 4:00,1350
1/13/2022 5:00,1381
1/13/2022 6:00,1468
1/13/2022 7:00,1485
1/13/2022 8:00,1578
1/13/2022 9:00,1413
1/13/2022 10:00,1486
1/13/2022 11:00,1473
1/13/2022 12:00,1388
1/13/2022 13:00,1217
1/13/2022 14:00,1133
1/13/2022 15:00,1088
1/13/2022 16:00,987
1/13/2022 17:00,997
1/13/2022 18:00,947
1/13/2022 19:00,771
1/13/2022 20:00,545
1/13/2022 21:00,545
1/13/2022 22:00,603
1/13/2022 23:00,670
1/14/2022 0:00,588
1/14/2022 1:00,571
1/14/2022 2:00,583
1/14/2022 3:00,609
1/14/2022 4:00,465
1/14/2022 5:00,419
1/14/2022 6:00,276
1/14/2022 7:00,147
1/14/2022 8:00,68
1/14/2022 9:00,83
1/14/2022 10:00,151
1/14/2022 11:00,237
1/14/2022 12:00,501
1/14/2022 13:00,895
1/14/2022 14:00,1144
1/14/2022 15:00,1326
1/14/2022 16:00,1605
1/14/2022 17:00,1742
1/14/2022 18:00,1808
1/14/2022 19:00,1831
1/14/2022 20:00,1755
1/14/2022 21:00,1700
1/14/2022 22:00,1730
1/14/2022 23:00,1721
1/15/2022 0:00,1687
1/15/2022 1:00,1716
1/15/2022 2:00,1485
1/15/2022 3:00,1518
1/15/2022 4:00,1551
1/15/2022 5:00,1543
1/15/2022 6:00,1566
1/15/2022 7:00,1491
1/15/2022 8:00,1400
1/15/2022 9:00,1367
1/15/2022 10:00,1331
1/15/2022 11:00,1134
1/15/2022 12:00,971
1/15/2022 13:00,1084
1/15/2022 14:00,1202
1/15/2022 15:00,1197
1/15/2022 16:00,1013
1/15/2022 17:00,886
1/15/2022 18:00,1001
1/15/2022 19:00,1107
1/15/2022 20:00,1077
1/15/2022 21:00,1215
1/15/2022 22:00,1127
1/15/2022 23:00,1101
1/16/2022 0:00,1070
1/16/2022 1:00,1065
1/16/2022 2:00,1063
1/16/2022 3:00,1087
1/16/2022 4:00,1031
1/16/2022 5:00,1000
1/16/2022 6:00,835
1/16/2022 7:00,872
1/16/2022 8:00,828
1/16/2022 9:00,737
1/16/2022 10:00,690
1/16/2022 11:00,807
1/16/2022 12:00,813
1/16/2022 13:00,991
1/16/2022 14:00,1238
1/16/2022 15:00,1267
1/16/2022 16:00,1321
1/16/2022 17:00,1430
1/16/2022 18:00,1407
1/16/2022 19:00,1549
1/16/2022 20:00,1546
1/16/2022 21:00,1529
1/16/2022 22:00,1557
1/16/2022 23:00,1534
1/17/2022 0:00,1527
1/17/2022 1:00,1521
1/17/2022 2:00,1485
1/17/2022 3:00,1527
1/17/2022 4:00,1526
1/17/2022 5:00,1478
1/17/2022 6:00,1523
1/17/2022 7:00,1332
1/17/2022 8:00,1428
1/17/2022 9:00,1511
1/17/2022 10:00,1543
1/17/2022 11:00,1552
1/17/2022 12:00,1543
1/17/2022 13:00,1604
1/17/2022 14:00,1565
1/17/2022 15:00,1657
1/17/2022 16:00,1691
1/17/2022 17:00,1720
1/17/2022 18:00,1746
1/17/2022 19:00,1679
1/17/2022 20:00,1770
1/17/2022 21:00,1770
1/17/2022 22:00,1686
1/17/2022 23:00,1736
1/18/2022 0:00,1604
1/18/2022 1:00,1407
1/18/2022 2:00,1388
1/18/2022 3:00,1365
1/18/2022 4:00,1213
1/18/2022 5:00,1169
1/18/2022 6:00,889
